"Experiment-Name","Throughput(events/ms)","InputSize","MillisecondsPassed","ParsingTime(ms)"
"query-1","48.389014496546736","1000000","20700.9","3186.7"
"query-2","65.8371447941509","1000000","15189.2","3083.4"
"query-3","21.218304838337612","1000000","47129.6","3050.3"
"query-4","9.403891171007299","1000000","106342.6","3152.3"
"query-5","15.218035132820631","1000000","65716.0","3247.2"
"query-6","9.167933168406599","1000000","109080.6","3091.1"
"query-7","103.13563273248799","1000000","9696.3","3131.0"
"query-8","58.0146116191102","1000000","17237.2","3102.7"
