"Experiment-Name","Throughput(events/ms)","InputSize","MillisecondsPassed","ParsingTime(ms)"
"query-1","157.84689192709166","1000000","6392.5","3436.4"
"query-2","159.47904715237158","1000000","6271.4","3184.6"
"query-3","160.36452816085202","1000000","6236.1","3072.9"
"query-4","120.07814193645864","1000000","8328.6","3068.3"
"query-5","156.51667669515035","1000000","6389.5","3170.4"
"query-6","77.22359102581231","1000000","12955.9","3048.2"
"query-7","162.43639601892556","1000000","6156.8","3144.7"
"query-8","165.63525920553562","1000000","6037.9","3088.3"

